Beer Name	Brewery	Volume	Quantity	Style	Purchase Price	Purchase Date	Drink After (Years)	Drink Before (Years)	App ID
Matt's Burning Rosids	Stone	22 oz.	1	Saison/Farmhouse Ale	10	2014-02	1	6	912s3cur3@gmail.com1415498028657
Russian Mocha Stout	Forever Young	22 oz.	2	Imperial Stout	0	2014-03	1	6	685s3cur3@gmail.com1415544823995
Blessed Barleywine	Forever Young	22 oz.	2	Barleywine	0	2014-03	1	6	739s3cur3@gmail.com1415544882885
Old Guardian	Stone	22 oz.	1	Barleywine	10	2014-03	1	6	841s3cur3@gmail.com1415497884029
Russian Mocha Stout	Forever Young	12 oz.	6	Imperial Stout	0	2014-03	1	6	824s3cur3@gmail.com1415544781955
Blessed Barleywine	Forever Young	12 oz.	6	Barleywine	0	2014-03	1	6	948s3cur3@gmail.com1415543623858
Sophie	Goose Island	12 oz.	2	Saison/Farmhouse Ale	3	2014-03	1	5	196s3cur3@gmail.com1415500049942
Saison Brett	Boulevard	750 mL	1	Saison/Farmhouse Ale	12	2014-06	1	6	563s3cur3@gmail.com1415499099794
Love Child #4	Boulevard	750 mL	1	Sour/Wild Ale	20	2014-06	1	6	356s3cur3@gmail.com1415498400963
Quadro Triticale	Stone	22 oz.	1	Quadruppel	12	2014-07	1	6	545ebf2ababca7c75a001ffe
Rye on Rye	Boulevard	750 mL	1	Rye Ale	12	2014-07	1	5	s3cur3@gmail.com1415496196641
Saison d'Funk	Forever Young	22 oz.	1	Saison/Farmhouse Ale	0	2014-08	1	6	471s3cur3@gmail.com1415499177007
Saison d'Funk	Forever Young	22 oz.	1	Saison/Farmhouse Ale	0	2014-08	1	6	95s3cur3@gmail.com1415545913377
Saison d'Funk	Forever Young	22 oz.	1	Saison/Farmhouse Ale	0	2014-08	1	6	387s3cur3@gmail.com1415545797639
Old Chub Nitro	Oskar Blues	16 oz.	4	Scotch Ale	4	2014-08	1	6	105s3cur3@gmail.com1415545714067
Collaboration 4	Boulevard	750 mL	1	Saison/Farmhouse Ale	12	2014-09	1	6	746s3cur3@gmail.com1415545942837
Fade to Black 5	Left Hand	12 oz.	2	Rye Ale	2.5	2014-04	1.5	6	871s3cur3@gmail.com1415545652359
Expedition Stout	Bell's	12 oz.	2	Imperial Stout	3.5	2014-10	1	6	799s3cur3@gmail.com1416322890508
Bourbon Barrel Quad	Boulevard	750 mL	1	Quadruppel	13	2014-11	1	6	949s3cur3@gmail.com1416322376224
Jubelale	Deschutes	12 oz.	2	Strong Ale	2.5	2014-11	1	6	383s3cur3@gmail.com1415545622490
Ten Fidy	Oskar Blues	12 oz.	4	Imperial Stout	3.5	2014-11	1	2	84s3cur3@gmail.com1416322140257
Saison Brett	Boulevard	750 mL	1	Saison/Farmhouse Ale	13	2014-12	1	6	552s3cur3@gmail.com1415545834741
Imperial Stout	Boulevard	750 mL	1	Imperial Stout	13	2013-12	2	5	445s3cur3@gmail.com1415545762128
Love Child #4	Boulevard	750 mL	1	Sour/Wild Ale	20	2014-07	1.5	6	799s3cur3@gmail.com1415545879488
Gnomegang	Ommegang	12 oz.	2	Belgian Blonde Ale	2.5	2015-01	1	5	585s3cur3@gmail.com1420061605578
Sophie	Goose Island	12 oz.	2	Saison/Farmhouse Ale	2.5	2014-07	1.5	6	790s3cur3@gmail.com1415545590294
Saison d'Funk	Forever Young	22 oz.	1	Saison/Farmhouse Ale	0	2014-08	1.5	6	290s3cur3@gmail.com1415545376126
Jewbelation Reborn 17	He'brew	22 oz.	1	Strong Ale	14	2014-03	2	6	184s3cur3@gmail.com1415545497189
Fade to Black 5	Left Hand	12 oz.	2	Rye Ale	10	2014-03	2	6	579s3cur3@gmail.com1415545407508
Blessed Barleywine	Forever Young	22 oz.	1	Barleywine	0	2014-03	2	6	893s3cur3@gmail.com1415545160166
Russian Mocha Stout	Forever Young	22 oz.	2	Imperial Stout	0	2014-03	2	6	509s3cur3@gmail.com1415544974897
Blessed Barleywine	Forever Young	750 mL	1	Barleywine	0	2014-03	2	6	332s3cur3@gmail.com1415544921146
Old Guardian	Stone	22 oz.	1	Barleywine	12	2014-04	2	6	890s3cur3@gmail.com1415545459392
Yeti	Great Divide	22 oz.	1	Imperial Stout	10	2014-05	2	6	781s3cur3@gmail.com1415545134050
Saison Brett	Boulevard	750 mL	1	Saison/Farmhouse Ale	13	2014-06	2	6	914s3cur3@gmail.com1415545068999
Love Child #4	Boulevard	750 mL	1	Sour/Wild Ale	20	2014-06	2	6	341s3cur3@gmail.com1415545098994
Old Rasputin	North Coast	12 oz.	2	Imperial Stout	2.5	2014-06	2	6	704s3cur3@gmail.com1415545007034
Old Rasputin	North Coast	12 oz.	2	Imperial Stout	3	2014-06	2	6	861s3cur3@gmail.com1415546033825
Rye on Rye	Boulevard	750 mL	1	Rye Ale	13	2014-07	2	6	895s3cur3@gmail.com1415545038345
Delirium Tremens	Brouwerij Huyghe	22 oz.	1	Belgian (Other)	12	2014-07	2	6	763s3cur3@gmail.com1415545217386
Sophie	Goose Island	12 oz.	2	Saison/Farmhouse Ale	3	2014-07	2	6	828s3cur3@gmail.com1415545554113
Sweet Mead	Forever Young	22 oz.	1	Other	0	2014-07	2	6	405s3cur3@gmail.com1415545309748
Sweet Mead 2	Forever Young	22 oz.	1	Other	0	2014-07	2	6	941s3cur3@gmail.com1415545341106
Saison d'Funk	Forever Young	22 oz.	1	Saison/Farmhouse Ale	0	2014-08	2	6	9s3cur3@gmail.com1415546076480
Saison d'Funk	Forever Young	22 oz.	1	Saison/Farmhouse Ale	0	2014-08	2	6	307s3cur3@gmail.com1415499259101
Old Curmudgeon	Founders	12 oz.	1	Old Ale	3	2014-09	2	6	508s3cur3@gmail.com1415545980597
Expedition Stout	Bell's	12 oz.	2	Imperial Stout	3.5	2014-10	2	6	173s3cur3@gmail.com1416322840504
Bourbon Barrel Quad	Boulevard	750 mL	1	Quadruppel	13	2014-11	2	6	894s3cur3@gmail.com1415546120605
The Muddy	Goose Island	12 oz.	2	Imperial Stout	3	2014-12	2	6	174s3cur3@gmail.com1419115077728
Narwhal	Sierra Nevada	12 oz.	2	Imperial Stout	3	2014-12	2	6	73s3cur3@gmail.com1419115017032
Cereal Killer	Arcadia Ales	12 oz.	2	Barleywine	3	2014-12	2	6	367s3cur3@gmail.com1419115132370
Imperial Stout	Boulevard	750 mL	1	Imperial Stout	13	2014-12	2	6	395s3cur3@gmail.com1415546163409
Love Child #4	Boulevard	750 mL	1	Sour/Wild Ale	20	2014-06	2.5	6	439s3cur3@gmail.com1415546191685
Gnomegang	Ommegang	12 oz.	2	Belgian Blonde Ale	2.5	2015-01	2	6	12s3cur3@gmail.com1420061566425
Fade to Black Export Stout	Left Hand	12 oz.	2	Imperial Stout	2.5	2015-01	2	6	956s3cur3@gmail.com1420904170982
The Abyss (2014)	Deschutes	22 oz.	1	Imperial Stout	16	2015-01	2	6	689s3cur3@gmail.com1419809193262
Saison d'Funk	Forever Young	22 oz.	1	Saison/Farmhouse Ale	0	2014-08	2.5	6	42s3cur3@gmail.com1415546390812
Brown Shugga	Lagunitas	12 oz.	2	Barleywine	2.5	2015-02	2	6	923s3cur3@gmail.com1420905105117
Dirty Bastard	Founders	12 oz.	2	Scotch Ale	1.75	2015-02	2	6	701s3cur3@gmail.com1423258099659
Double Bastard	Stone	22 oz.	1	Strong Ale	9	2015-02	2.1	6	224s3cur3@gmail.com1422971998864
Long Strange Tripel	Boulevard	12 oz.	2	Tripel	2.5	2015-02	2.2	6	140s3cur3@gmail.comMon Feb 02 2015 16:01:40 GMT-0600 (CST)
Saison Brett	Boulevard	750 mL	1	Saison/Farmhouse Ale	13	2014-06	3	6	362s3cur3@gmail.com1415546522603
Yeti	Great Divide	22 oz.	1	Imperial Stout	12	2014-06	3	6	95s3cur3@gmail.com1415546585753
Old Rasputin	North Coast	12 oz.	1	Imperial Stout	3	2014-06	3	6	854s3cur3@gmail.com1415546300771
Sophie	Goose Island	12 oz.	2	Saison/Farmhouse Ale	2.5	2014-07	3	6	679s3cur3@gmail.com1415546268287
Sweet Mead	Forever Young	750 mL	1	Other	0	2014-07	3	6	807s3cur3@gmail.com1415546614945
Saison d'Funk	Forever Young	22 oz.	1	Saison/Farmhouse Ale	0	2014-08	3	6	385s3cur3@gmail.com1415546437454
Old Curmudgeon	Founders	12 oz.	2	Old Ale	3	2014-09	3	6	624s3cur3@gmail.com1415546239775
Expedition Stout	Bell's	12 oz.	2	Imperial Stout	3.5	2014-10	3	6	662s3cur3@gmail.com1416322783051
Bourbon Barrel Quad	Boulevard	750 mL	1	Quadruppel	13	2014-11	3	6	573s3cur3@gmail.com1415546545137
Barrel Blonde	River North	22 oz.	1	Belgian Blonde Ale	13	2014-11	3	6	390s3cur3@gmail.com1415546469459
Harvest Dance	Boulevard	750 mL	1	Other	13	2014-11	3	6	501s3cur3@gmail.com1415546498831
Fade to Black Export Stout	Left Hand	12 oz.	2	Imperial Stout	2.5	2014-12	3	6	20s3cur3@gmail.com1420904473581
Gnomegang	Ommegang	12 oz.	2	Belgian Blonde Ale	2.5	2015-01	3	5	357s3cur3@gmail.com1420061382398
Old Stock Ale	North Coast	12 oz.	2	Old Ale	3	2015-01	3	6	63s3cur3@gmail.com1419809158041
Mephistopheles	Avery	12 oz.	1	Imperial Stout	10	2015-02	3	6	420s3cur3@gmail.com1420904907220
Dirty Bastard	Founders	12 oz.	2	Scotch Ale	1.75	2015-02	3	6	264s3cur3@gmail.com1423257856717
Brown Shugga	Lagunitas	12 oz.	1	Barleywine	2.5	2015-02	3	6	657s3cur3@gmail.com1420905150321
Monk's Cafe Flemish Sour Red	Brouwerij Van Steenberge	12 oz.	2	Sour/Wild Ale	4	2015-02	3.1	6	673s3cur3@gmail.comMon Feb 02 2015 16:03:59 GMT-0600 (CST)
Double Bastard	Stone	22 oz.	1	Strong Ale	9	2015-02	3.1	6	818s3cur3@gmail.comTue Feb 03 2015 07:30:11 GMT-0600 (CST)
Long Strange Tripel	Boulevard	12 oz.	2	Tripel	2.5	2015-02	3.2	6	361s3cur3@gmail.comMon Feb 02 2015 15:47:55 GMT-0600 (CST)
Sophie	Goose Island	12 oz.	2	Saison/Farmhouse Ale	2.5	2014-05	4	6	875s3cur3@gmail.com1415546736529
Old Rasputin	North Coast	12 oz.	2	Imperial Stout	3	2014-06	4	6	520s3cur3@gmail.com1415546670172
Sweet Mead	Forever Young	750 mL	1	Other	0	2014-07	4	6	625s3cur3@gmail.com1415546645579
Old Curmudgeon	Founders	12 oz.	2	Old Ale	3	2014-09	4	6	852s3cur3@gmail.com1415546704508
Pump[ky]n	Avery	12 oz.	1	Imperial Stout	12	2014-09	4	6	838s3cur3@gmail.com1415546798630
Trois Pistoles	Unibroue	12 oz.	2	Belgian (Other)	3	2014-09	4	6	990s3cur3@gmail.com1415546828100
Breakfast Stout	Founders	12 oz.	2	Imperial Stout	2.5	2014-10	4	6	116s3cur3@gmail.com1415546764475
Bourbon Barrel Quad	Boulevard	750 mL	1	Quadruppel	13	2014-11	4	6	41s3cur3@gmail.com1416322443097
Old Stock Ale	North Coast	12 oz.	2	Old Ale	3	2015-01	4	6	236s3cur3@gmail.com1419809091177
Monk's Cafe Flemish Sour Red	Brouwerij Van Steenberge	12 oz.	2	Sour/Wild Ale	4	2015-02	4.1	6	763s3cur3@gmail.comMon Feb 02 2015 16:06:31 GMT-0600 (CST)
Sophie	Goose Island	12 oz.	2	Saison/Farmhouse Ale	3	2014-05	5	6	356s3cur3@gmail.com1415546923820
Trois Pistoles	Unibroue	12 oz.	2	Belgian (Other)	3	2014-09	5	6	184s3cur3@gmail.com1415546872479
Old Curmudgeon	Founders	12 oz.	2	Old Ale	3	2014-09	5	6	10s3cur3@gmail.com1415546898087
